Processors:
Time,0,100,200,300,400,500,600,700,800,900,1000,1100,1200,1300,1400,1500,
P0,T11,T12,T12,T14,T13,T13,T15,T16,T16,T02,T05,T08,,,,,
P1,T21,T21,T21,T15,T24,T22,T25,T22,T26,T28,T06,,,,,,
P2,T01,T01,T01,T22,T14,T23,T23,T25,T27,T07,T07,,,,,,
P3,,,,T23,T15,T24,T24,T02,T07,,,,,,,,
P4,,,,T04,T03,T14,T04,T03,T06,,,,,,,,

Active Virtual Processors:
Time,0,100,200,300,400,500,600,700,800,900,1000,1100,1200,1300,1400,1500,
P0,T11,T12,T12,T14,T13,T13,T15,T16,T16,,,,,,,,
P1,,,,T15,,,,,,,,,,,,,
P2,,,,,T14,,,,,,,,,,,,
P3,,,,,T15,,,,,,,,,,,,
P4,,,,,,T14,,,,,,,,,,,

Passive Virtual Processors:
Time,0,100,200,300,400,500,600,700,800,900,1000,1100,1200,1300,1400,1500,
P0,,,,,,,,,,,,,,,,,
P1,T21,T21,T21,,T24,T22,T25,T22,T26,T28,,,,,,,
P2,,,,T22,,T23,T23,T25,T27,,,,,,,,
P3,,,,T23,,T24,T24,,,,,,,,,,
P4,,,,,,,,,,,,,,,,,

Uncommitted Schedule:
0,100,200,300,400,500,600,700,800,900,1000,1100,1200,1300,1400,1500,
P0,,,,,,,,,,T02,T05,T08,,,,,
P1,,,,,,,,,,,T06,,,,,,
P2,T01,T01,T01,,,,,,,T07,T07,,,,,,
P3,,,,,,,,T02,T07,,,,,,,,
P4,,,,T04,T03,,T04,T03,T06,,,,,,,,
